date,province,value,department,sector
2013-01-01,Beijing,0.08136651103831463,Wetland,Wetland
2013-01-01,Chongqing,0.3607802757850268,Wetland,Wetland
2013-01-01,Zhejiang,2.2177561786228934,Wetland,Wetland
2013-01-01,Liaoning,0.9979873015873015,Wetland,Wetland
2013-01-01,Shaanxi,0.13980833047456437,Wetland,Wetland
2013-01-01,Hainan,0.7057345092341748,Wetland,Wetland
2013-01-01,Anhui,1.1982187399332758,Wetland,Wetland
2013-01-01,Henan,0.813987993363457,Wetland,Wetland
2013-01-01,Hubei,2.5349059147489887,Wetland,Wetland
2013-01-01,Inner Mongolia,7.836301333333334,Wetland,Wetland
2013-01-01,Gansu,3.8661888954202444,Wetland,Wetland
2013-01-01,Guangxi,1.2680332647529338,Wetland,Wetland
2013-01-01,Fujian,3.0901467398935467,Wetland,Wetland
2013-01-01,Shanxi,0.1675762667812908,Wetland,Wetland
2013-01-01,Qinghai,12.452373984354496,Wetland,Wetland
2013-01-01,Guangdong,3.7077472162095697,Wetland,Wetland
2013-01-01,Jiangxi,0.2516167046656946,Wetland,Wetland
2013-01-01,Hebei,1.4814416666666665,Wetland,Wetland
2013-01-01,Ningxia,0.1769535224596997,Wetland,Wetland
2013-01-01,Hunan,0.710399288857641,Wetland,Wetland
2013-01-01,Shandong,0.2228828350747054,Wetland,Wetland
2013-01-01,Tianjin,0.5640523037200058,Wetland,Wetland
2013-01-01,Tibet,11.47292303197352,Wetland,Wetland
2013-01-01,Jilin,2.1378082126376237,Wetland,Wetland
2013-01-01,Xinjiang,4.790734799565933,Wetland,Wetland
2013-01-01,Heilongjiang,8.191285456568297,Wetland,Wetland
2013-01-01,Guizhou,0.2084441225480381,Wetland,Wetland
2013-01-01,Shanghai,0.9329017139983649,Wetland,Wetland
2013-01-01,Jiangsu,12.681632800033595,Wetland,Wetland
2013-01-01,Sichuan,11.311746060230261,Wetland,Wetland
2013-01-01,Yunnan,0.6129644819357647,Wetland,Wetland
2013-02-01,Jiangxi,0.22726670098836932,Wetland,Wetland
2013-02-01,Hainan,0.5352670842846319,Wetland,Wetland
2013-02-01,Yunnan,0.4649052961457601,Wetland,Wetland
2013-02-01,Anhui,1.2014093369968002,Wetland,Wetland
2013-02-01,Guangdong,2.8121553016283367,Wetland,Wetland
2013-02-01,Xinjiang,4.790734799565933,Wetland,Wetland
2013-02-01,Henan,0.8161554671433398,Wetland,Wetland
2013-02-01,Hubei,1.4469235479240519,Wetland,Wetland
2013-02-01,Qinghai,14.676894724770214,Wetland,Wetland
2013-02-01,Shanghai,0.779645913702534,Wetland,Wetland
2013-02-01,Inner Mongolia,7.836301333333334,Wetland,Wetland
2013-02-01,Heilongjiang,7.891099342075714,Wetland,Wetland
2013-02-01,Shanxi,0.168022486095753,Wetland,Wetland
2013-02-01,Gansu,4.811682963381152,Wetland,Wetland
2013-02-01,Jiangsu,11.45437801293357,Wetland,Wetland
2013-02-01,Guangxi,0.9617447631075232,Wetland,Wetland
2013-02-01,Shaanxi,0.14018060978701546,Wetland,Wetland
2013-02-01,Fujian,1.7926657047591468,Wetland,Wetland
2013-02-01,Shandong,1.237942311362994,Wetland,Wetland
2013-02-01,Jilin,2.1435007330250113,Wetland,Wetland
2013-02-01,Hebei,1.4814416666666665,Wetland,Wetland
2013-02-01,Tianjin,0.5655542528749851,Wetland,Wetland
2013-02-01,Chongqing,0.27363520383382334,Wetland,Wetland
2013-02-01,Sichuan,7.487621661417899,Wetland,Wetland
2013-02-01,Beijing,0.08158317243955639,Wetland,Wetland
2013-02-01,Tibet,8.738924625099088,Wetland,Wetland
